fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
920,-864,17112,0,0,0,0,0,0,18912,15917,23900,17376,17484,18212,41,1,2240
-784,136,17840,0,0,0,0,0,0,15213,17201,21347,14097,18251,14271,41,0,2250
1920,-1184,13480,0,0,0,0,0,0,18040,21056,15185,15239,16150,18806,41,1,2260
-104,764,17724,0,0,0,0,0,0,11355,16802,23062,13327,24606,24894,41,0,2270
96,-1280,17736,0,0,0,0,0,0,13113,20244,21099,16422,23810,23055,41,1,2280
68,744,17164,0,0,0,0,0,0,19149,23278,19194,18329,24164,17336,41,0,2290
-780,664,20340,0,0,0,0,0,0,16096,13087,16504,20763,23972,18273,40,0,2300
2124,-1360,17220,0,0,0,0,0,0,10359,9499,21099,21940,21117,17304,41,1,2310
-1044,-356,15412,0,0,0,0,0,0,9305,14150,22019,23274,27914,21826,40,0,2320
1036,-2116,16556,0,0,0,0,0,0,10936,19361,20985,17010,28769,21049,40,1,2330
-128,648,15464,0,0,0,0,0,0,20968,23823,19103,16969,29399,19185,40,0,2340
-88,-64,18580,0,0,0,0,0,0,19051,22003,17228,19103,25852,17484,40,0,2350
1288,48,17616,0,0,0,0,0,0,21928,17103,14305,15363,20246,19151,39,1,2360
-1696,948,17564,0,0,0,0,0,0,10563,9304,13495,13274,20176,17487,39,0,2370
1920,-1768,15372,0,0,0,0,0,0,13795,12347,9615,12262,20107,13425,39,1,2380
-36,636,16320,0,0,0,0,0,0,12880,18798,10631,12134,21877,16018,40,0,2390
164,-924,16520,0,0,0,0,0,0,16217,18936,17201,21165,25725,17326,38,0,2400
652,1100,17792,0,0,0,0,0,0,19654,18197,16421,25870,21346,14228,39,1,2410
-2364,1444,17512,0,0,0,0,0,0,13102,21821,21095,16997,20215,18877,38,0,2420
1968,-1744,16064,0,0,0,0,0,0,16762,21853,21102,18221,21107,19141,39,1,2430
92,564,16320,0,0,0,0,0,0,18945,21964,23049,22743,25712,19962,38,0,2440
24,-440,16308,0,0,0,0,0,0,21903,25199,24199,23122,24885,19265,39,0,2450
692,908,17892,0,0,0,0,0,0,17826,14110,21264,22977,25861,23021,38,1,2460
-2060,972,17224,0,0,0,0,0,0,12328,10364,20821,23173,24947,20035,38,0,2470
1728,-1584,16568,0,0,0,0,0,0,15767,13338,22698,26558,21121,17365,38,1,2480
788,688,17080,0,0,0,0,0,0,19006,12992,23899,24937,20223,17228,38,0,2490
-1036,-148,16400,0,0,0,0,0,0,19317,16988,22195,21105,23775,14417,39,0,2500
1544,316,19680,0,0,0,0,0,0,19079,9183,18257,24593,23940,20078,38,1,2510
624,620,16216,0,0,0,0,0,0,13017,10082,19091,23124,21077,17337,39,0,2520
-632,-612,20524,0,0,0,0,0,0,12259,15122,23042,21202,24909,19174,38,1,2530
1068,-676,16792,0,0,0,0,0,0,16234,22883,22751,23866,28067,19899,39,0,2540
-1692,-300,17808,0,0,0,0,0,0,21031,19267,20899,18313,24136,20171,40,0,2550
564,-1084,15432,0,0,0,0,0,0,17991,20241,18141,16222,16168,21092,40,1,2560
1384,716,17472,0,0,0,0,0,0,20027,17325,15137,16222,18166,20145,40,0,2570
192,-1268,18236,0,0,0,0,0,0,19351,19673,16264,14035,20127,19969,39,1,2580
